course,prof,gpa
310,"Bresler, Yoram",2.8068827915551453
310,"Shanbhag, Naresh R",3.395057471264367
310,"Radhakrishnan, Chandrasek",3.2445551182469656
310,"Liang, Zhi-Pei",2.9271345318864785
310,"Kamalabadi, Farzad",2.9930837245696402
310,"Corey, Ryan M",3.0576562500000004
310,"Do, Minh N",3.120778048992314
310,"Dokmanic, Ivan",2.9635365853658535
310,"Levinson, Stephen E",2.853418367346939
310,"Ravishankar, Saiprasad",2.7818390804597697
310,"Chidester, Benjamin W",2.333076923076923
310,"Singer, Andrew C",2.9480389317889317
310,"Smaragdis, Paris",2.4857812500000005
311,"Shanbhag, Naresh R",3.6061007502119895
311,"Katselis, Dimitrios",3.4664394729751167
311,"Do, Minh N",3.5438745380635623
311,"Bresler, Yoram",3.3163128379904694
311,"Liang, Zhi-Pei",3.3532995153550296
311,"Lim, Teck Yian",3.80506993006993
311,"Wei, Michael",3.7336718649283682
311,"Robinson, Sarah R",3.3206521739130435
311,"Singer, Andrew C",3.259059829059829
311,"Ma, Chao",3.2538
313,"Chitambar, Eric A",2.9003019023986765
313,"Chen, Xu",2.962676056338028
313,"Varshney, Lav R",2.8927880571909164
313,"Milenkovic, Olgica",2.571855533109686
313,"Zhao, Zhizhen",2.826422594992568
313,"Shomorony, Ilan",2.7550943396226417
313,"Alvarez, Juan",2.730119727750411
313,"Hajek, Bruce",2.7610886674077277
313,"Ochoa-Alvarez, Idoia",2.6503904733941486
313,"Katselis, Dimitrios",2.547679904254079
313,"Do, Minh N",2.591836734693877
313,"Lu, Yi",2.7467230710593284
313,"Shanbhag, Naresh R",2.6780363382250174
313,"Han, Aiguo",2.506071428571429
313,"Veeravalli, Venugopal V",2.734396721896722
313,"Dominguez-Garci, Alejandr",2.2180387096774195
313,"Kang, Xiaohan",2.7132812499999996
313,"Baryshnikov, Juliy",2.8982142857142863
313,"Iyer, Ravishankar K",2.9007911775338737
313,"Kamalabadi, Farzad",2.5585208333333336
313,"Viswanath, Pramod",2.905543021636292
313,"Wu, Yihong",2.7214462438146647
313,"Kairouz, Peter",2.8577333333333335
313,"Xu, Jiaming",2.570847457627118
313,"Sarwate, Dilip",2.6033962264150943
313,"Hasegawa-Johnso, Mark A",2.7832475368314973
313,"Zhu, Ji",2.795681818181818
313,"Hassanzadeh, Farzad",2.405357142857143
313,"Hutchinson, Seth A",2.54225
313,"Basar, Tangul",2.659148936170213
313,"Coleman, Todd P",2.602553191489362
313,"O'Brien, William D",2.2668
314,"Hajek, Bruce",3.5970673317351203
316,"Hillmer, Philip M",3.6736332167428443
317,"He, Wei",3.6743221912059845
317,"Frizzell, Leon A",3.6553678929765887
317,"Peck, Timothy L",3.7546031746031745
329,"Goddard, Lynford L",2.9612809995361475
329,"Shao, Yang V",2.7797453703703705
329,"Chen, Yun-Sheng",2.5561904761904763
329,"Chen, Xu",2.93847250927398
329,"Ilie, Raluca",2.9659540933418564
329,"Kudeki, Erhan",3.271669276031311
329,"Lee, Minjoo L",2.7510797077259745
329,"Zhao, Yang",2.6601762820512818
329,"Waldrop, Lara",2.85692179381715
329,"He, Wei",2.5781439254244205
329,"Dragic, Peter D",2.93223359244615
329,"Fliflet, Arne W",2.704412140335061
329,"Liang, Zhi-Pei",2.902496782496783
329,"Wasserman, Daniel M",2.829459628589791
329,"Fallahpour, Mojtaba",2.8887301587301586
329,"Gong, Songbin",2.994839728499686
329,"Cangellaris, Andreas C",2.6544159544159545
329,"McKeown, Steven J",2.9372413793103447
329,"Schutt-Aine, Jose E",3.0420499181669394
